ID,Município,UF,Distância da capital regional (nível de hierarquia 5) ou metrópole (nível de hierarquia 3)  mais próxima (km),ÁREA km²,Emissões de CO₂e por Habitante,Focos de Calor
7,Alagoinhas,BA,"59,36","707,84","2,91","0,4"
23,Araçás,BA,"82,79","474,58","15,37","8,65"
31,Baixa Grande,BA,"134,61","967,51","7,04",0
730,Pacatuba,CE,"29,34","133,22","1,33","0,61"
33,Barra,BA,"472,91","11428,11","39,63","39,93"
556,Salgueiro,PE,"98,03","1678,56","5,88","2,89"
634,Camocim,CE,"266,79","1120,45","2,1","1,12"
475,Escada,PE,"50,71","342,16","2,61","1,67"
539,Paudalho,PE,"36,88","269,65","2,07","0,18"
520,Limoeiro,PE,"65,58","273,73","2,16","0,53"
35,Barra do Choça,BA,"28,37","765,94","5,56",0
447,Buíque,PE,"136,11","1336,54","5,32","2,88"
445,Brejo da Madre de Deus,PE,"46,93","761,82","1,64","0,21"
589,Timbaúba,PE,"77,44","287,68","2,45","0,65"
38,Barreiras,BA,"541,33","8051,27","28,6","12,08"
40,Barro Preto,BA,"21,65","201,59","15,35",0
54,Brejolândia,BA,"427,77","2247,21","86,05","43,92"
55,Brotas de Macaúbas,BA,"370,62","2520,82","7,23","18,7"
543,Petrolândia,PE,"230,54","1056,59","2,49",0
64,Caetanos,BA,"57,14","767,15","5,38","10,65"
464,Catende,PE,"50,55","208,59","1,56",0
66,Cafarnaum,BA,"279,75","643,66","3,34","5,73"
725,Nova Russas,CE,"244,81","736,91","2,05","9,45"
71,Camamu,BA,"95,45","839,7","4,68","2,3"
72,Campo Alegre de Lourdes,BA,"480,64","2914,57","10,37","13,69"
538,Passira,PE,"54,45","327,21","2,83",0
73,Campo Formoso,BA,"242,23","7161,83","25,2","6,58"
79,Candiba,BA,"223,12","433,64","6,73",0
616,Aracoiaba,CE,"75,91","643,99","3,96","5,87"
82,Canudos,BA,"260,14","3565,38","6,56","3,73"
586,Taquaritinga do Norte,PE,"43,49","475,18","2,93","1,21"
660,Forquilha,CE,"185,36","568,78","2,93","18,62"
622,Aurora,CE,"48,08","885,87","8,84","11,81"
721,Morrinhos,CE,"178,96","411,59","2,23","3,96"
87,Cardeal da Silva,BA,"114,88","293,46","10,03",0
91,Catolândia,BA,"517,7","702,5","58,6","131,04"
754,Quixeré,CE,"163,65","613,1","5,4","2,4"
551,Riacho das Almas,PE,"21,18","313,61","6,24","1,45"
750,Quiterianópolis,CE,"215,61","1041,83","6,13","19,29"
570,São Joaquim do Monte,PE,"23,77","224,62","2,51",1
553,Rio Formoso,PE,"72,81","227,46","3,52",2
728,Orós,CE,"116,49","577,53","4,49","14,74"
99,Cocos,BA,"405,96","10140,57","181,24","303,38"
515,Lagoa de Itaenga,PE,"46,77","57,3","2,31",0
571,São José da Coroa Grande,PE,"96,67","69,18","1,65","1,59"
458,Capoeiras,PE,"87,88","337,11","6,03",0
770,Solonópole,CE,"168,55","1535,86","12,51","12,65"
435,Belém do São Francisco,PE,"175,73","1830,83","6,11","1,64"
101,Conceição do Almeida,BA,"65,17","284,84","7,6",0
103,Conceição do Jacuípe,BA,"23,74","114,87","3,85","0,57"
139,Glória,BA,"263,84","1566,61","5,36",0
455,Camocim de São Félix,PE,"23,77","72,01","2,39",0
142,Guajeru,BA,"122,68","872,87","16,22","55,9"
504,Itaquitinga,PE,"49,96","162,74","2,08","1,81"
169,Ipupiara,BA,"386,53","1055,76","3,36","3,02"
507,Jataúba,PE,"67,3","714,6","3,66","0,63"
181,Itagibá,BA,"83,42","810,99",19,"1,31"
192,Itapé,BA,"20,56","453,14","13,06","3,87"
193,Itapebi,BA,"134,38","1013,07","25,57","2,18"
198,Itarantim,BA,"122,8","1674,03","22,11","6,45"
210,Jaguarari,BA,"256,73","2466,01","2,65","4,59"
211,Jaguaripe,BA,"45,09","863,42","18,08","3,4"
559,Santa Cruz,PE,"228,67","1245,98","11,42","29,62"
212,Jandaíra,BA,"326,37","640,77","9,91","1,08"
557,Saloá,PE,"110,69","251,55","6,15",0
230,Lapão,BA,"326,53","642,88","2,26","6,99"
237,Macarani,BA,"91,69","1210,11","12,59","4,63"
446,Buenos Aires,PE,"61,41","93,19","1,68","1,56"
242,Maiquinique,BA,"105,96","588,3","16,25","13,74"
682,Ipaumirim,CE,"81,28","276,51","7,74","4,97"
746,Poranga,CE,"282,83","1310,77","2,65","12,43"
247,Mansidão,BA,"575,52","3129,59","21,09","28,02"
261,Morpará,BA,"451,08","2093,87","26,42","15,01"
560,Santa Cruz da Baixa Verde,PE,"145,16","114,93","2,67","6,05"
264,Mucugê,BA,"212,98","2462,15","36,84","2,47"
452,Calçado,PE,"64,45","121,44","2,43",0
270,Muritiba,BA,"43,93","86,31","1,49",0
493,Iguaracy,PE,"177,74","836,05","12,72","14,44"
272,Nazaré,BA,"926,64","278,63","4,61",0
723,Mulungu,CE,"78,09","97,95","1,56","0,95"
278,Nova Itarana,BA,"149,91","475,38","7,31","12,85"
