ID,Município,UF
407,Várzea da Roça,BA
337,Santa Bárbara,BA
538,Passira,PE
716,Missão Velha,CE
298,Piatã,BA
295,Pé de Serra,BA
37,Barra do Rocha,BA
649,Choró,CE
539,Paudalho,PE
408,Várzea do Poço,BA
79,Candiba,BA
83,Capela do Alto Alegre,BA
95,Chorrochó,BA
627,Barro,CE
121,Dom Macedo Costa,BA
551,Riacho das Almas,PE
42,Belmonte,BA
475,Escada,PE
281,Nova Viçosa,BA
361,São José do Jacuípe,BA
248,Maracás,BA
229,Lamarão,BA
711,Mauriti,CE
67,Cairu,BA
221,Jussari,BA
434,Belém de Maria,PE
547,Primavera,PE
620,Arneiroz,CE
703,Lavras da Mangabeira,CE
743,Pindoretama,CE
97,Cipó,BA
64,Caetanos,BA
402,Urandi,BA
356,São Félix do Coribe,BA
603,Abaiara,CE
693,Itatira,CE
150,Ibicuí,BA
369,Sebastião Laranjeiras,BA
133,Firmino Alves,BA
781,Umirim,CE
590,Toritama,PE
378,Sítio do Mato,BA
646,Caucaia,CE
745,Pires Ferreira,CE
717,Mombaça,CE
411,Vera Cruz,BA
756,Reriutaba,CE
77,Candeal,BA
29,Aurelino Leal,BA
519,Lajedo,PE
768,Senador Sá,CE
354,São Felipe,BA
122,Elísio Medrado,BA
783,Uruoca,CE
259,Mirante,BA
619,Aratuba,CE
211,Jaguaripe,BA
465,Cedro,PE
350,Santo Antônio de Jesus,BA
739,Pedra Branca,CE
333,Rodelas,BA
140,Gongogi,BA
241,Maetinga,BA
421,Agrestina,PE
273,Nilo Peçanha,BA
86,Caravelas,BA
776,Tianguá,CE
663,Frecheirinha,CE
464,Catende,PE
141,Governador Mangabeira,BA
532,Ouricuri,PE
424,Alagoinha,PE
243,Mairi,BA
70,Camaçari,BA
412,Vereda,BA
503,Itapissuma,PE
609,Altaneira,CE
610,Alto Santo,CE
614,Aquiraz,CE
676,Ibicuitinga,CE
766,São Luís do Curu,CE
197,Itaquara,BA
648,Chaval,CE
559,Santa Cruz,PE
176,Itaberaba,BA
339,Santa Cruz Cabrália,BA
491,Ibirajuba,PE
109,Coribe,BA
3,Acajutiba,BA
167,Ipiaú,BA
510,Joaquim Nabuco,PE
132,Filadélfia,BA
459,Carnaíba,PE
63,Caém,BA
651,Coreaú,CE
364,Sapeaçu,BA
324,Riachão do Jacuípe,BA
65,Caetité,BA
713,Milagres,CE
222,Jussiape,BA
