ID,Município,UF,distancia_capital_regional_km
407,Várzea da Roça,BA,146.934
337,Santa Bárbara,BA,35.02
538,Passira,PE,53.398
716,Missão Velha,CE,18.663
298,Piatã,BA,215.275
295,Pé de Serra,BA,85.188
37,Barra do Rocha,BA,73.914
649,Choró,CE,141.023
539,Paudalho,PE,36.165
408,Várzea do Poço,BA,168.189
79,Candiba,BA,223.319
83,Capela do Alto Alegre,BA,115.708
95,Chorrochó,BA,198.527
627,Barro,CE,58.915
121,Dom Macedo Costa,BA,74.762
551,Riacho das Almas,PE,20.034
42,Belmonte,BA,126.894
475,Escada,PE,51.452
281,Nova Viçosa,BA,345.421
361,São José do Jacuípe,BA,136.375
248,Maracás,BA,164.663
229,Lamarão,BA,55.539
711,Mauriti,CE,62.855
67,Cairu,BA,82.53
221,Jussari,BA,50.452
434,Belém de Maria,PE,40.725
547,Primavera,PE,61.256
620,Arneiroz,CE,136.155
703,Lavras da Mangabeira,CE,62.472
743,Pindoretama,CE,42.349
97,Cipó,BA,138.255
64,Caetanos,BA,59.098
402,Urandi,BA,194.379
356,São Félix do Coribe,BA,394.974
603,Abaiara,CE,33.732
693,Itatira,CE,149.637
150,Ibicuí,BA,76.575
369,Sebastião Laranjeiras,BA,228.069
133,Firmino Alves,BA,73.009
781,Umirim,CE,89.35
590,Toritama,PE,32.275
378,Sítio do Mato,BA,345.604
646,Caucaia,CE,13.334
745,Pires Ferreira,CE,240.287
717,Mombaça,CE,165.964
411,Vera Cruz,BA,12.489
756,Reriutaba,CE,230.499
77,Candeal,BA,53.988
29,Aurelino Leal,BA,52.175
519,Lajedo,PE,57.329
768,Senador Sá,CE,217.315
354,São Felipe,BA,65.1
122,Elísio Medrado,BA,96.11
783,Uruoca,CE,228.796
259,Mirante,BA,69.711
619,Aratuba,CE,95.491
211,Jaguaripe,BA,45.279
465,Cedro,PE,57.86
350,Santo Antônio de Jesus,BA,82.073
739,Pedra Branca,CE,198.772
333,Rodelas,BA,192.873
140,Gongogi,BA,55.959
241,Maetinga,BA,73.038
421,Agrestina,PE,19.667
273,Nilo Peçanha,BA,96.289
86,Caravelas,BA,326.837
776,Tianguá,CE,271.855
663,Frecheirinha,CE,252.548
464,Catende,PE,52.452
141,Governador Mangabeira,BA,37.909
532,Ouricuri,PE,114.091
424,Alagoinha,PE,91.258
243,Mairi,BA,142.198
70,Camaçari,BA,35.705
412,Vereda,BA,273.943
503,Itapissuma,PE,31.066
609,Altaneira,CE,52.1
610,Alto Santo,CE,201.496
614,Aquiraz,CE,26.451
676,Ibicuitinga,CE,139.755
766,São Luís do Curu,CE,77.498
197,Itaquara,BA,164.219
648,Chaval,CE,309.245
559,Santa Cruz,PE,162.898
176,Itaberaba,BA,148.281
339,Santa Cruz Cabrália,BA,168.351
491,Ibirajuba,PE,39.91
109,Coribe,BA,406.125
3,Acajutiba,BA,123.233
167,Ipiaú,BA,88.827
510,Joaquim Nabuco,PE,61.383
132,Filadélfia,BA,212.717
459,Carnaíba,PE,179.534
63,Caém,BA,207.95
651,Coreaú,CE,235.662
364,Sapeaçu,BA,55.703
324,Riachão do Jacuípe,BA,68.23
65,Caetité,BA,197.562
713,Milagres,CE,42.314
222,Jussiape,BA,169.801
