ID,Município,UF,distancia_capital_regional_km,areas_verdes_urbanas,focos_calor,emissao_co2_percapita
407,Várzea da Roça,BA,146.934,1.16,2.17,5.11
337,Santa Bárbara,BA,35.02,2.41,0.48,2.88
538,Passira,PE,53.398,4.32,0.0,2.83
716,Missão Velha,CE,18.663,1.28,13.58,4.94
298,Piatã,BA,215.275,5.67,4.48,9.53
295,Pé de Serra,BA,85.188,2.22,1.51,7.86
37,Barra do Rocha,BA,73.914,3.76,1.73,13.61
539,Paudalho,PE,36.165,4.57,0.18,2.07
408,Várzea do Poço,BA,168.189,8.03,1.23,4.97
79,Candiba,BA,223.319,1.44,0.0,6.73
83,Capela do Alto Alegre,BA,115.708,4.32,0.93,7.77
95,Chorrochó,BA,198.527,0.7,0.95,6.35
627,Barro,CE,58.915,5.33,4.13,14.47
121,Dom Macedo Costa,BA,74.762,0.68,0.0,10.02
551,Riacho das Almas,PE,20.034,0.39,1.45,6.24
475,Escada,PE,51.452,8.12,1.67,2.61
281,Nova Viçosa,BA,345.421,4.55,3.29,5.66
361,São José do Jacuípe,BA,136.375,0.75,1.96,5.76
248,Maracás,BA,164.663,1.7,16.29,9.4
229,Lamarão,BA,55.539,1.73,0.0,2.94
711,Mauriti,CE,62.855,2.22,12.29,8.11
67,Cairu,BA,82.53,1.48,1.69,0.88
221,Jussari,BA,50.452,1.5,3.4,10.15
434,Belém de Maria,PE,40.725,0.29,0.0,2.7
547,Primavera,PE,61.256,0.82,1.45,2.51
620,Arneiroz,CE,136.155,0.0,18.85,12.08
703,Lavras da Mangabeira,CE,62.472,1.04,14.93,5.87
743,Pindoretama,CE,42.349,0.88,0.0,2.91
97,Cipó,BA,138.255,2.54,0.0,4.38
64,Caetanos,BA,59.098,0.8,10.65,5.38
402,Urandi,BA,194.379,1.51,9.77,6.91
603,Abaiara,CE,33.732,0.28,10.96,12.18
693,Itatira,CE,149.637,0.86,16.16,4.54
369,Sebastião Laranjeiras,BA,228.069,0.53,13.89,12.92
781,Umirim,CE,89.35,0.0,9.16,4.59
590,Toritama,PE,32.275,6.11,0.0,1.15
378,Sítio do Mato,BA,345.604,0.72,17.15,12.68
646,Caucaia,CE,13.334,3.26,1.38,0.9
745,Pires Ferreira,CE,240.287,0.0,16.03,2.59
717,Mombaça,CE,165.964,0.12,10.6,10.06
411,Vera Cruz,BA,12.489,4.14,0.47,1.21
77,Candeal,BA,53.988,2.35,1.29,6.63
29,Aurelino Leal,BA,52.175,2.88,0.89,8.05
519,Lajedo,PE,57.329,7.83,0.25,3.12
768,Senador Sá,CE,217.315,1.08,11.02,3.43
354,São Felipe,BA,65.1,2.26,0.0,3.11
122,Elísio Medrado,BA,96.11,1.76,1.28,14.28
619,Aratuba,CE,95.491,0.18,4.45,2.1
465,Cedro,PE,57.86,0.59,4.75,3.45
350,Santo Antônio de Jesus,BA,82.073,5.88,0.19,2.44
739,Pedra Branca,CE,198.772,0.63,14.93,4.75
333,Rodelas,BA,192.873,0.01,0.97,5.54
140,Gongogi,BA,55.959,0.72,3.6,15.58
421,Agrestina,PE,19.667,1.2,0.0,3.48
273,Nilo Peçanha,BA,96.289,2.88,3.32,8.58
776,Tianguá,CE,271.855,3.38,3.56,3.37
464,Catende,PE,52.452,2.49,0.0,1.56
141,Governador Mangabeira,BA,37.909,5.24,0.0,2.44
532,Ouricuri,PE,114.091,1.61,10.42,4.8
424,Alagoinha,PE,91.258,0.65,0.74,3.89
243,Mairi,BA,142.198,0.97,3.96,6.92
70,Camaçari,BA,35.705,5.88,0.17,2.18
503,Itapissuma,PE,31.066,1.61,0.72,1.47
609,Altaneira,CE,52.1,0.34,5.9,2.1
610,Alto Santo,CE,201.496,0.26,4.24,8.78
614,Aquiraz,CE,26.451,2.77,0.62,6.24
676,Ibicuitinga,CE,139.755,5.17,5.17,4.01
766,São Luís do Curu,CE,77.498,0.0,6.47,3.14
197,Itaquara,BA,164.219,5.36,6.13,16.5
648,Chaval,CE,309.245,0.93,6.42,1.59
176,Itaberaba,BA,148.281,4.63,3.84,7.25
339,Santa Cruz Cabrália,BA,168.351,4.54,4.45,12.86
491,Ibirajuba,PE,39.91,0.0,0.0,7.42
510,Joaquim Nabuco,PE,61.383,1.54,1.51,1.34
132,Filadélfia,BA,212.717,0.49,2.24,5.59
459,Carnaíba,PE,179.534,6.15,3.75,3.54
63,Caém,BA,207.95,4.05,8.67,9.26
364,Sapeaçu,BA,55.703,3.48,0.56,2.16
324,Riachão do Jacuípe,BA,68.23,4.01,0.3,5.26
65,Caetité,BA,197.562,3.9,8.08,4.14
713,Milagres,CE,42.314,2.48,8.49,5.53
222,Jussiape,BA,169.801,1.96,2.71,5.97
