ID,Municipio,UF,longitude,latitude
407,Várzea da Roça,BA,-40.132829,-11.600463
337,Santa Bárbara,BA,-38.968085,-11.95149
538,Passira,PE,-35.581261,-7.997102
716,Missão Velha,CE,-39.143046,-7.235219
298,Piatã,BA,-41.770177,-13.146549
295,Pé de Serra,BA,-39.611037,-11.831289
37,Barra do Rocha,BA,-39.599098,-14.199994
649,Choró,CE,-39.134397,-4.839062
539,Paudalho,PE,-35.171639,-7.90287
408,Várzea do Poço,BA,-40.314941,-11.527307
79,Candiba,BA,-42.866694,-14.409738
83,Capela do Alto Alegre,BA,-39.834912,-11.665797
95,Chorrochó,BA,-39.097942,-8.969498
627,Barro,CE,-38.774133,-7.171879
121,Dom Macedo Costa,BA,-39.192259,-12.901582
551,Riacho das Almas,PE,-35.864796,-8.137417
42,Belmonte,BA,-38.87578,-15.860789
475,Escada,PE,-35.224082,-8.356717
281,Nova Viçosa,BA,-39.374331,-17.892648
361,São José do Jacuípe,BA,-39.866934,-11.41368
248,Maracás,BA,-40.432333,-13.435468
229,Lamarão,BA,-38.887009,-11.773013
711,Mauriti,CE,-38.770786,-7.385974
67,Cairu,BA,-39.046525,-13.490377
221,Jussari,BA,-39.490962,-15.19201
434,Belém de Maria,PE,-35.83347,-8.625038
547,Primavera,PE,-35.354378,-8.329987
620,Arneiroz,CE,-40.165285,-6.316499
703,Lavras da Mangabeira,CE,-38.970619,-6.744801
743,Pindoretama,CE,-38.306118,-4.015839
97,Cipó,BA,-38.517942,-11.103172
64,Caetanos,BA,-40.917506,-14.334745
402,Urandi,BA,-42.649766,-14.767799
356,São Félix do Coribe,BA,-44.183708,-13.401883
603,Abaiara,CE,-39.04159,-7.345879
693,Itatira,CE,-39.620155,-4.526076
150,Ibicuí,BA,-39.987915,-14.84496
369,Sebastião Laranjeiras,BA,-42.943438,-14.571002
133,Firmino Alves,BA,-39.926859,-14.982334
781,Umirim,CE,-39.346513,-3.676541
590,Toritama,PE,-36.063659,-8.009546
378,Sítio do Mato,BA,-43.468921,-13.080149
646,Caucaia,CE,-38.661931,-3.727966
745,Pires Ferreira,CE,-40.64418,-4.239218
717,Mombaça,CE,-39.630009,-5.738442
411,Vera Cruz,BA,-38.615295,-12.956845
756,Reriutaba,CE,-40.575915,-4.141911
77,Candeal,BA,-39.120277,-11.804851
29,Aurelino Leal,BA,-39.329035,-14.320954
519,Lajedo,PE,-36.329336,-8.657914
768,Senador Sá,CE,-40.4662,-3.35305
354,São Felipe,BA,-39.08932,-12.839439
122,Elísio Medrado,BA,-39.519087,-12.941743
783,Uruoca,CE,-40.56276,-3.308194
259,Mirante,BA,-40.771799,-14.238469
619,Aratuba,CE,-39.047117,-4.412291
211,Jaguaripe,BA,-38.893891,-13.110924
465,Cedro,PE,-39.236733,-7.71179
350,Santo Antônio de Jesus,BA,-39.258403,-12.961387
739,Pedra Branca,CE,-39.707771,-5.453411
333,Rodelas,BA,-38.77999,-8.850214
140,Gongogi,BA,-39.46899,-14.319481
241,Maetinga,BA,-41.49146,-14.662335
421,Agrestina,PE,-35.944725,-8.459657
273,Nilo Peçanha,BA,-39.109111,-13.603992
86,Caravelas,BA,-39.259679,-17.726839
776,Tianguá,CE,-40.992286,-3.729645
663,Frecheirinha,CE,-40.818019,-3.755572
464,Catende,PE,-35.702386,-8.675086
141,Governador Mangabeira,BA,-39.041207,-12.599415
532,Ouricuri,PE,-40.079983,-7.879184
424,Alagoinha,PE,-36.778767,-8.466504
243,Mairi,BA,-40.143732,-11.710704
70,Camaçari,BA,-38.326265,-12.699638
412,Vereda,BA,-40.097368,-17.218256
503,Itapissuma,PE,-34.897136,-7.767983
609,Altaneira,CE,-39.7356,-6.998371
610,Alto Santo,CE,-38.274318,-5.508941
614,Aquiraz,CE,-38.389563,-3.899293
676,Ibicuitinga,CE,-38.636249,-4.969993
766,São Luís do Curu,CE,-39.239123,-3.66976
197,Itaquara,BA,-39.937767,-13.44589
648,Chaval,CE,-41.24346,-3.035708
559,Santa Cruz,PE,-40.343368,-8.241534
176,Itaberaba,BA,-40.305897,-12.524182
339,Santa Cruz Cabrália,BA,-39.029495,-16.282529
491,Ibirajuba,PE,-36.181151,-8.576331
109,Coribe,BA,-44.458593,-13.823216
3,Acajutiba,BA,-38.019737,-11.657522
167,Ipiaú,BA,-39.735252,-14.12263
510,Joaquim Nabuco,PE,-35.528814,-8.62281
132,Filadélfia,BA,-40.14371,-10.740475
459,Carnaíba,PE,-37.794584,-7.793421
63,Caém,BA,-40.432039,-11.067693
651,Coreaú,CE,-40.658656,-3.541496
364,Sapeaçu,BA,-39.182426,-12.720764
324,Riachão do Jacuípe,BA,-39.381812,-11.806681
65,Caetité,BA,-42.486133,-14.068422
713,Milagres,CE,-38.937829,-7.297492
222,Jussiape,BA,-41.588209,-13.515514
