Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Abaiara;CE;59,47;180,83;11557,3;69,53;59,14;49,75;79,17;35,89;88;75,06;77,4;55,95;52,09;51,11;36,54;49,73;80,63;32,09;87,68;905,54;100,82;15,11;3,33;36,32;0,74;32,77;28,74;47,22;95,33;85,38;98,9;28,39;0;7,97;9,96;0,58;4,53;9,12;12,77;5,34;2;97,17;4,66;42,91;91,54;69,87;2,34;391,25;17,27;19,92;81,82;0,28;12,18;10,96;50,68;43,32;7;6;90;57;967,46;434,34;2;15,57;0,29;0,57;0;0,87;0;43,08;0;0;43,12;58,41;500,52
Abaíra;BA;63,25;538,68;9488,38;83,12;59,09;47,55;81,23;77,36;90,3;83,6;74,09;40,91;57,5;63,84;25,25;55,65;85,65;23,66;100;249,02;109,66;20,4;2,95;98,24;3,92;99,85;37,93;54,01;97,82;88,5;99;0;0;3,42;8,22;0,92;4,33;6,72;33,63;5;1,65;65,59;11,04;47,31;49,69;69,76;1,98;392,13;18,82;6,85;71,43;0,37;2,07;1,37;42,62;15,25;7;4;84;77,5;3174,63;1440,91;3;9,73;0,27;1,58;0,44;0,75;0;0;58,28;0;25,99;29,94;526,55
Abaré;BA;53,23;1604,92;11517,57;72,6;52,43;34,65;76,49;71,22;82;60,71;51,95;48,99;54,24;54,53;7,95;46,61;57,1;26,94;96,47;908,16;158,64;18,85;3,37;78,41;82,07;62,64;37,25;61,35;85,97;69,69;94;39,24;3,73;22,68;53,29;17,45;5,17;8,83;34,32;4,71;4,03;60,06;14,32;36,59;91,26;71,55;2,35;426,65;24,36;7,09;69,64;0,38;5,94;0;52,27;30,36;1;0;193;59;2943,17;1179,07;3;22,01;0,31;0,13;0,55;0,72;15,99;282,01;79,15;0,99;31,94;43,36;465,43
Abreu e Lima;PE;59,95;126,38;16709,27;70,21;65,56;44,07;68,8;69,43;88,47;54,14;75,17;67,5;55,09;64,5;25,88;52,99;75,23;22,17;51,26;991,02;155,73;12,47;3,37;85,7;30,45;86,86;58,26;85,56;80,33;82,85;98,46;84,71;1,46;28,84;3,05;1,1;0,25;5,97;24,57;4,26;4,68;99,93;5,67;90,58;94,66;72,46;2,58;461,84;19,92;3,66;81,59;7,78;1,39;0;51,15;14,24;3;5;90,83;61;1155,79;415,05;4;15,06;0,28;0,84;0,31;0,97;0;5,82;87,85;11,44;25,57;29,78;504,99
Acajutiba;BA;51,54;181,47;10241,58;60,9;55,83;37,9;70,6;72,62;90,73;9,64;60,59;59,17;39,65;63,91;7,3;49,22;70,93;24,13;88,3;255,83;173,37;28,02;3,82;86,09;2,21;89,72;21,56;79,19;93,47;81,53;98,48;164,32;24,78;81,55;16,31;3,42;7,03;6,72;44,07;3,46;13,13;98,25;6,7;55,5;90,54;68,39;4,44;398,68;27,21;5,44;69,78;18,15;4,2;0;48,11;40,25;2;0;116;73;3513,89;1595,59;3;20,75;0,29;0,86;0;0;0;31,15;32,14;2,47;32,38;44,45;472,9
Acarape;CE;55,22;130;12673,56;68,87;60,92;35,88;75,34;59,83;86,61;53,69;72,98;59,39;48,3;63,03;17,46;48,12;62,01;15,95;87,81;778,52;155,6;15,36;3,72;77,1;80,76;36,34;51,01;86,23;86,57;75,7;93,36;53,12;4,67;29,94;21,39;1,3;2,45;11,12;27,53;4,92;1,67;99,78;13,73;38,25;95,44;67,56;2,76;495,67;20,55;1,78;69,87;0,97;2,32;3,56;45,46;8,67;3;3;92,5;78,33;1631,2;1041,68;2;18,43;0,3;0,9;0;0,62;0;97,97;203,89;4,53;17,88;22,53;479,11
Acaraú;CE;56,49;842,47;14945,87;68,18;60,49;40,81;79,78;48,14;82,07;62,72;79,5;55,63;54,91;51,92;20,12;50,67;64,41;28,02;88,92;800,88;165,78;10,6;2,26;63,45;16,84;33,78;29,07;58,92;88,81;63,87;96,61;39,96;3,07;20,99;26,35;0,22;2,8;7,87;13,33;5,37;1,58;89;6,73;47,43;91,52;70,47;2,52;416,23;18,9;9,81;58,32;0,68;8,09;1,99;53,45;40,9;7;0;125,5;76,67;1486,97;1039,45;4;14,94;0,31;0,25;0,27;0,63;15,15;39,31;46,2;1,39;30,13;39,38;515,71
Acopiara;CE;58,27;2254,28;12304,25;70,65;60,78;43,39;75,93;55,85;88,07;62,75;79,8;58,84;51,87;52,61;42,81;50,74;59,78;20,22;87,44;783,94;144,18;12,93;4,07;65,77;58,61;39,75;37,7;56,48;98,49;85,14;93,81;30,15;6,16;20,91;29,36;0,1;1,88;8,07;15,2;5,4;1,4;82,58;13,48;56,75;94,25;68,41;2,73;392,53;15,21;13,34;69,6;0,17;12,22;8,67;47,69;43,99;7;10;395,8;75,33;914,3;723,52;4;16,62;0,3;0,15;0,62;0,79;138,89;57,23;34,94;5,87;21,61;28,79;501,26
Adustina;BA;54,95;629,1;16658,45;70,55;53,16;41,14;74,94;61,91;87,07;58,28;57,05;44,3;58,02;53,28;23,55;49,26;66,66;25,1;86,42;387,98;91,73;22,63;4,5;66,45;59,52;62,05;45,02;53,88;94,97;79,15;98,13;36,96;9,35;21,13;23,94;3,47;11,33;12,65;54,58;4,72;10,72;55,42;7,75;37,61;84,21;68,07;2,27;290,35;14,84;7,04;83,33;1,09;10,84;0,7;50,97;34,05;7;0;98,33;52,67;1349,57;612,89;2;16,74;0,3;2,24;0,67;0,96;0;87,63;213,99;0;27,33;32,1;527,4
Afogados da Ingazeira;PE;61,26;378,03;12869,84;78,75;66,04;38,99;71,81;81,91;96,06;65,21;78,1;66,28;57,5;62,28;19,01;57,91;49,59;29,46;91,46;1282,46;159,28;15,33;5,31;80,25;83,77;100;48,03;76,68;98,62;98,95;99,37;21,64;3,61;14,91;25,84;0,57;0,5;6,23;23,08;5,31;5,53;94,06;8,97;87,38;93,77;73,39;2,32;459,64;21,33;3,98;73,84;6,14;2,98;1,99;46,7;30,53;4;0;122,11;49,22;1124,54;482,95;9;14,5;0,28;1,19;0,46;0,72;45,05;636,91;110,47;5,73;35,26;43,34;537,4
Afrânio;PE;52,56;1490,59;10922,87;64,68;57,69;35,32;73,57;45,97;78,81;60,36;78,25;41,66;59,45;51,41;10,84;48,12;52,84;29,48;95,27;910,49;92,56;21;5,94;40,13;18,83;55,49;35,54;7,06;98,28;70,42;95,79;16,31;8,54;16,07;21,42;0,3;0,05;5,33;22,48;4,56;2,78;52,45;2,66;45,85;76,02;70,68;2,44;316,26;14,81;10,71;69,2;0,36;11,34;43,91;47,36;43,12;2;0;73,5;54;2634,39;853,07;3;18,23;0,31;1,34;0,55;0;476,19;98,18;58,71;1,71;32,63;45,34;496,34
Agrestina;PE;58,59;200,37;14439,73;75,06;62,69;38,02;73,41;85,27;94,82;46,72;73,72;63,31;49,16;64,56;7,68;50,01;69,03;25,36;82,55;1474,08;197,8;14,15;2,79;81,53;83,64;99,58;30,98;86,02;96,99;90,72;98,91;76,62;4,05;43,74;32,8;0,27;0,7;7,95;30,35;4,38;5,78;99,67;9,39;68,07;92,11;70,57;3,54;490,01;16,09;3,15;75,96;1,2;3,48;0;41,17;7,79;1;0;60,5;91,67;1738,82;595,78;3;15,28;0,31;1,35;0,18;0,84;0;42,14;68,27;6;27,73;34,31;515,45
Água Fria;BA;50,21;742,77;10733,97;59,35;52,33;38,95;71,38;47,28;82,1;36,63;56,05;39,89;59,25;54,12;15,22;49,36;66,22;24,98;74,46;506,02;108,74;21,88;4,54;56,59;9,77;42,95;30,38;36,79;86,8;76,63;98,14;95,75;8,94;41,39;8,62;4,5;9,9;10,1;60,35;3,46;3,85;65,46;0,71;39,32;64,85;69,79;2,79;270,83;17,38;5,52;56,09;6,73;12,09;0,69;56,56;24,4;6;0;59;85,5;2611,61;1296,86;3;15,32;0,31;0,84;0,22;0;0;88,52;65,35;3,12;34,16;47,57;477,18
